variable,count,mean,std,min,25%,50%,75%,max,original
dummy1,1000.0,-5.510231353944137e-05,0.010836563353749416,-0.0348491268549402,-0.00698335787804415,-0.00033443990940535003,0.007465925732458875,0.0380850466678239,0.014693405906847
dummy2,1000.0,-9.429698527615242e-05,0.010680343859009653,-0.0340237978603283,-0.007653631276577075,-0.0002101002155887,0.0069459002906133,0.0354811856647643,-0.0107422248630584
x1,1000.0,-0.03420508031169193,3.0481365285487207,-9.264067630601089,-2.0294335476037153,-0.01807218555710985,1.8500917987322962,28.20714144589604,28.20714144589604
x2,1000.0,0.21156314357638945,8.2298066157806,-30.663383801625915,-5.306200772870527,0.14123165094098367,5.526709916445724,75.04826629740288,75.04826629740288
x3,1000.0,-0.08802168115981417,1.8742534232183918,-4.816811477576522,-1.3285332644695993,-0.1405083731560252,1.0674653322826966,17.751518896454723,17.751518896454723
